PhraseId,SentenceId,Phrase,Sentiment,Phrase(origin),Sentiment(predict),Difference(Phrase),Difference(Sentence)
79349,4087,I can not recommend it .,0,I ca n't recommend it .,4,4,4.0
79350,4087,can not recommend it .,0,ca n't recommend it .,4,4,4.0
113298,6020,real snooze .,0,real snooze .,3,3,3.0
113297,6020,A real snooze .,0,A real snooze .,3,3,3.0
12562,539,` This movie sucks . ',0,` This movie sucks . ',3,3,2.8
12564,539,sucks . ',0,sucks . ',3,3,2.8
12565,539,sucks .,0,sucks .,3,3,2.8
12566,539,sucks,0,sucks,3,3,2.8
12563,539,This movie sucks . ',1,This movie sucks . ',3,2,2.8
152333,8312,is a big time stinker .,0,is a big time stinker .,3,3,2.625
152330,8312,`` The Adventures of Pluto Nash '' is a big time stinker .,0,`` The Adventures of Pluto Nash '' is a big time stinker .,3,3,2.625
152335,8312,a big time stinker,1,a big time stinker,3,2,2.625
152336,8312,big time stinker,0,big time stinker,2,2,2.625
152337,8312,time stinker,0,time stinker,2,2,2.625
152332,8312,'' is a big time stinker .,0,'' is a big time stinker .,3,3,2.625
152331,8312,The Adventures of Pluto Nash '' is a big time stinker .,0,The Adventures of Pluto Nash '' is a big time stinker .,3,3,2.625
152334,8312,is a big time stinker,0,is a big time stinker,3,3,2.625
113467,6031,is well below expectations .,0,is well below expectations .,4,4,2.5
113468,6031,is well below expectations,1,is well below expectations,2,1,2.5
113469,6031,below expectations,3,below expectations,2,1,2.5
113466,6031,Below is well below expectations .,0,Below is well below expectations .,4,4,2.5
80745,4160,A negligible British comedy .,1,A negligible British comedy .,4,3,2.3333333333333335
80747,4160,British comedy .,3,British comedy .,2,1,2.3333333333333335
80746,4160,negligible British comedy .,1,negligible British comedy .,4,3,2.3333333333333335
142479,7733,extraordinarily silly,2,extraordinarily silly,4,2,2.25
142478,7733,extraordinarily silly thriller,1,extraordinarily silly thriller,4,3,2.25
142477,7733,An extraordinarily silly thriller,2,An extraordinarily silly thriller,4,2,2.25
142476,7733,An extraordinarily silly thriller .,2,An extraordinarily silly thriller .,4,2,2.25
29269,1355,grossest movie,0,grossest movie,3,3,2.2
29268,1355,the grossest movie,1,the grossest movie,3,2,2.2
